active_route_change_threshold_center,0.10,0.15,0.20,0.25,0.30,0.35
100.0,"174.3
(91:9)","173.6
(88:12)","175.6
(85:15)","173.9
(83:17)","176.2
(81:19)","174.8
(79:21)"
150.0,"173.0
(83:17)","173.9
(78:22)","173.0
(74:26)","175.9
(71:29)","174.1
(69:31)","177.6
(68:32)"
200.0,"177.3
(71:29)","177.7
(62:38)","180.0
(59:41)","177.1
(56:44)","175.7
(53:47)","175.6
(51:49)"
250.0,"164.2
(63:37)","178.2
(50:50)","180.0
(45:55)","180.4
(41:59)","180.9
(38:62)","181.5
(36:64)"
300.0,"144.9
(64:36)","161.4
(44:56)","175.4
(33:67)","181.0
(30:70)","181.8
(27:73)","180.9
(25:75)"
350.0,"125.3
(68:32)","141.7
(47:53)","163.2
(30:70)","176.4
(23:77)","184.5
(20:80)","183.4
(19:81)"
